"homeTeamName","awayTeamName","league_name","goalsHomeTeam","goalsAwayTeam","home_prob","draw_prob","away_prob"
"Middlesbrough FC","Cardiff City FC","England – Championship",0,1,0.455653494903817,0.291074172863931,0.253272332232252
"Nottingham Forest","Burton Albion FC","England – Championship",2,0,0.549316506953553,0.250036732443577,0.20064676060287
"Sheffield United FC","Reading","England – Championship",2,1,0.475647894577091,0.285946681490626,0.238405423932283
"Wolverhampton Wanderers FC","Preston North End","England – Championship",3,2,0.552884602105275,0.276969862695868,0.170145535198858
"Millwall FC","Birmingham City","England – Championship",2,0,0.443277235085591,0.284317760113207,0.272405004801201
"Chelsea FC","Watford FC","England – Premiere League",4,2,0.707261579575644,0.188889315707855,0.103849104716501
"Huddersfield Town","Manchester United FC","England – Premiere League",2,1,0.11291729501168,0.208536621425826,0.678546083562494
"Manchester City FC","Burnley FC","England – Premiere League",3,0,0.877036219893363,0.0803456517742232,0.042618128332414
"Newcastle United FC","Crystal Palace FC","England – Premiere League",1,0,0.501815119519629,0.27139453766396,0.226790342816411
"Stoke City FC","AFC Bournemouth","England – Premiere League",1,2,0.447905032389827,0.281871270383253,0.27022369722692
"Swansea City FC","Leicester City FC","England – Premiere League",1,2,0.344236065873533,0.296396612610142,0.359367321516325
"Southampton FC","West Bromwich Albion FC","England – Premiere League",1,0,0.537069506609329,0.286821228941718,0.176109264448954
"AS Monaco FC","SM Caen","France – Ligue 1",2,0,0.71891796205553,0.182028801693165,0.0990532362513058
"Amiens SC","FC Girondins de Bordeaux","France – Ligue 1",1,0,0.175672582024768,0.253901778707672,0.57042563926756
"Angers SCO","Toulouse FC","France – Ligue 1",0,1,0.490008127742022,0.289366376813898,0.22062549544408
"FC Metz","Dijon FCO","France – Ligue 1",1,2,0.348465320171952,0.299295367018855,0.352239312809193
"FC Nantes","EA Guingamp","France – Ligue 1",2,1,0.455762879558535,0.308649545017489,0.235587575423977
"Stade Rennais FC","OSC Lille","France – Ligue 1",1,0,0.431468337422596,0.302831814464307,0.265699848113097
"RC Lens","Stade de Reims","France – Ligue 2",0,1,0.362147014442768,0.289933175253287,0.347919810303945
"Feirense","FC Rio Ave","Portugal – Primeira Liga",1,0,0.27307961916913,0.308510835580315,0.418409545250555
"Vitoria Setubal","Maritimo Funchal","Portugal – Primeira Liga",3,1,0.40480892829705,0.318820103658788,0.276370968044162
"UC Sampdoria","FC Crotone","Italy – Serie A",5,0,0.623525740578156,0.227337857022198,0.149136402399646
"SSC Napoli","FC Internazionale Milano","Italy – Serie A",0,0,0.642088325945801,0.208516925559107,0.149394748495092
"AC Cesena","Foggia","Italy – Serie B",3,3,0.408349475353192,0.278844356026894,0.312806168619913
"US Cittá di Palermo","Novara Calcio","Italy – Serie B",0,2,0.557265554698547,0.278932060676179,0.163802384625273
"Parma FC","Virtus Entella","Italy – Serie B",3,1,0.551117548273094,0.280187966628673,0.168694485098232
"Pescara Calcio","AS Avellino 1912","Italy – Serie B",2,1,0.529965823030697,0.235583394721964,0.234450782247339
"Pro Vercelli","Carpi FC","Italy – Serie B",0,0,0.385404789053592,0.326111744583808,0.2884834663626
"Salernitana Calcio","Frosinone Calcio","Italy – Serie B",1,1,0.317806430428657,0.296554936600601,0.385638632970742
"Ternana Calcio","Ascoli","Italy – Serie B",1,1,0.460370141193677,0.277268380491647,0.262361478314676
"Venezia","Empoli FC","Italy – Serie B",1,0,0.300906917965667,0.307551550223584,0.391541531810748
"Spezia Calcio","Perugia","Italy – Serie B",4,2,0.374961474449855,0.316525919990137,0.308512605560007
"Atlético PR","Sport Recife","Campeonato Brasileiro da Série A",2,1,0.521517325563988,0.272349344173567,0.206133330262446
"Bahia","EC Vitória","Campeonato Brasileiro da Série A",2,1,0.496888209276409,0.280076245281795,0.223035545441796
"Cruzeiro","Atlético Mineiro","Campeonato Brasileiro da Série A",1,3,0.484709017138013,0.2799612426573,0.235329740204687
